seed,focal,startIndex,q,T,kalmanSquaredError,holdSquaredError,variance,covered,intervalCoversCircle,periodicJump,historyNIS
138,4,7601,0.0001,30,0.000528637680511399,0.000395781905274359,0.984502341602683,1,0,0,0.865623701183157
138,4,7601,0.0001,60,0.000374932083942375,0.00420626454241805,7.53294378013383,1,1,0,0.865623701183157
138,4,7601,0.0001,120,0.00173004606071323,0.0434629488581721,58.9217748425493,1,1,0,0.865623701183157
138,5,6001,1e-08,3,7.71550631543732e-06,0.000277061756870045,9.78388820305474e-06,1,0,0,1.88830929931356
138,5,6001,1e-08,10.2,4.24007015570138e-05,0.000323416020461632,3.0701926526387e-05,1,0,0,1.88830929931356
138,5,6001,1e-08,30,0.00041145274193517,0.000633498844593813,0.00022036857811208,1,0,0,1.88830929931356
138,5,6001,1e-08,60,9.84957560578538,9.85763212908734,0.001160888145643,0,0,1,1.88830929931356
138,5,6001,1e-08,120,9.05025527481439,8.90012682404264,0.00737909542410409,0,0,1,1.88830929931356
138,5,6001,1e-06,3,8.01956089863991e-08,0.000277061756870045,8.40741847535785e-05,1,0,0,0.757534812309801
138,5,6001,1e-06,10.2,2.33854510098564e-05,0.000323416020461632,0.000801581202199402,1,0,0,0.757534812309801
138,5,6001,1e-06,30,0.00050255294251965,0.000633498844593813,0.0121645920110148,1,0,0,0.757534812309801
138,5,6001,1e-06,60,9.80002120210888,9.85763212908734,0.0840083161455725,0,0,1,0.757534812309801
138,5,6001,1e-06,120,9.16764444090643,8.90012682404264,0.622782900887812,0,0,1,0.757534812309801
138,5,6001,0.0001,3,0.000905410238075695,0.000277061756870045,0.00201027975025284,1,0,0,0.665647283604353
138,5,6001,0.0001,10.2,0.00926103444396257,0.000323416020461632,0.0457343308175817,1,0,0,0.665647283604353
138,5,6001,0.0001,30,0.079318495405184,0.000633498844593813,0.984502341602683,1,0,0,0.665647283604353
138,5,6001,0.0001,60,6.84873720956855,9.85763212908734,7.53294378013383,1,1,1,0.665647283604353
138,5,6001,0.0001,120,4.98781137364363,8.90012682404264,58.9217748425493,1,1,1,0.665647283604353
138,5,6801,1e-08,3,9.55768712778263e-05,0.000157629630671052,9.78388820305474e-06,0,0,0,1.15809658201516
138,5,6801,1e-08,10.2,0.000397816292124506,0.00184386161220793,3.0701926526387e-05,0,0,0,1.15809658201516
138,5,6801,1e-08,30,0.00354380764531678,0.019076911695927,0.00022036857811208,0,0,0,1.15809658201516
138,5,6801,1e-08,60,0.0223867024807295,0.0976219729456215,0.001160888145643,0,0,0,1.15809658201516
138,5,6801,1e-08,120,0.186114679418519,0.581713358954462,0.00737909542410409,0,0,0,1.15809658201516
