hiddenCount,T,mode,metric,n,mean,ci95
11,3,kalman,eventGODeviation,30,0.000351241172585056,0.000148059194846944
11,3,kalman,postGOLoss,30,-5.23086736485329e-05,0.00041288205802585
11,3,kalman,postGODeviation,30,0.000750374715729822,0.000360602399942461
11,3,kalman,eventPairDistanceIncrease,30,3.56085924885276e-07,5.7200467122432e-07
11,3,kalman,eventPairDistanceDeviation,30,8.77897801264913e-07,4.94546191387219e-07
11,3,kalman,postPairDistanceIncrease,30,1.69836254391881e-05,1.55790606979552e-05
11,3,kalman,postPairDistanceDeviation,30,2.489200182076e-05,1.41041997769561e-05
11,3,kalman,meanPredictionError,30,0.0242415124915566,0.00527054355198929
11,3,kalman,p90PredictionError,30,0.0258089173914803,0.000772757481405833
11,3,kalman,recoveryTime,30,1.2,0
11,3,kalman-gm,eventGOLoss,30,1.46211510669933e-05,0.000196723540042997
11,3,kalman-gm,eventGODeviation,30,0.000344017895407075,0.000163171699708543
11,3,kalman-gm,postGOLoss,30,3.08561858093563e-05,0.000295372452948452
11,3,kalman-gm,postGODeviation,30,0.000535079791164631,0.000280551687466868
11,3,kalman-gm,eventPairDistanceIncrease,30,4.78436150153037e-07,4.99401203792481e-07
11,3,kalman-gm,eventPairDistanceDeviation,30,8.02556946997481e-07,4.41726295120747e-07
11,3,kalman-gm,postPairDistanceIncrease,30,1.11000084354805e-05,1.24721403848246e-05
11,3,kalman-gm,postPairDistanceDeviation,30,2.12042248473995e-05,1.05981360442126e-05
