seed,policy,strengthMode,k,blockSize,nBlocks,meanGO,meanLO,meanPairDistance,passBlocks,passFraction,durationWeightedPass
53,random,fixed-total,7,300,1,0.780854736161843,0.846005201329786,0.234011855472687,1,1,1
53,random,fixed-total,7,300,1,0.8394434092367,0.872071926994838,0.228714743631658,1,1,1
53,random,fixed-total,7,300,1,0.752965309760263,0.841737364127113,0.237263338441806,1,1,1
53,random,fixed-total,7,300,1,0.480320557281957,0.748493605661741,0.264427090034834,0,1,0
53,random,fixed-total,7,300,1,0.200772524926722,0.545514444427037,0.242642243700845,0,1,0
53,random,fixed-total,7,300,1,0.503588819308787,0.7002456362029,0.194920299867281,1,1,1
53,random,fixed-total,15,100,1,0.685046109089415,0.728092327672958,0.250689042329207,0,1,0
53,random,fixed-total,15,100,1,0.687930148395502,0.71351476653927,0.240827947828378,1,1,1
53,random,fixed-total,15,100,1,0.677993077390341,0.717946967105973,0.226568166655257,1,1,1
53,random,fixed-total,15,100,1,0.663341395125226,0.752806507199639,0.211205925165321,1,1,1
53,random,fixed-total,15,100,1,0.664658596860611,0.813203209676159,0.197224095880688,1,1,1
53,random,fixed-total,15,100,1,0.622468185009793,0.761804595490811,0.180791112188073,1,1,1
53,random,fixed-total,15,100,1,0.560779192521118,0.60697868351444,0.163993602650193,1,1,1
53,random,fixed-total,15,100,1,0.548390949620229,0.585062123532423,0.158399826513186,1,1,1
53,random,fixed-total,15,100,1,0.552375919536347,0.599463431926313,0.166227217419431,1,1,1
53,random,fixed-total,15,100,1,0.491694648166818,0.645801105873969,0.17934148149487,1,1,1
53,random,fixed-total,15,100,1,0.457748654899621,0.574843189169483,0.19048153698624,1,1,1
53,random,fixed-total,15,100,1,0.41726959158044,0.511863571096793,0.203081814471305,0,1,0
53,random,fixed-total,15,100,1,0.353399286936706,0.60121753613906,0.225102269183337,1,1,1
53,random,fixed-total,15,100,1,0.377603236378424,0.680798486550285,0.248407664294626,0,1,0
53,random,fixed-total,15,100,1,0.418569862205687,0.646505368978859,0.257602449132966,0,1,0
53,random,fixed-total,15,100,1,0.435453550985886,0.637961965835219,0.255460601732355,0,1,0
53,random,fixed-total,15,100,1,0.405536340923698,0.603004569492173,0.248336274105486,0,1,0
53,random,fixed-total,15,100,1,0.348796176686281,0.621331848549937,0.232092411843276,1,1,1
53,random,fixed-total,15,100,1,0.308946730821929,0.582984712778555,0.204945096005357,0,1,0
53,random,fixed-total,15,100,1,0.192385718102772,0.529801031624211,0.173748917744977,0,1,0
53,random,fixed-total,15,300,1,0.683656444958419,0.719851353772734,0.239361718937614,1,1,1
53,random,fixed-total,15,300,1,0.650156058998543,0.775938104122203,0.196407044411361,1,1,1
53,random,fixed-total,15,300,1,0.553848687225898,0.597168079657725,0.162873548860937,1,1,1
53,random,fixed-total,15,300,1,0.455570964882293,0.577502622046748,0.190968277650805,1,1,1
53,random,fixed-total,15,300,1,0.383190795173605,0.642840463889401,0.243704127536976,0,1,0
53,random,fixed-total,15,300,1,0.396595356198622,0.620766127959109,0.245296429227039,0,1,0
53,random,fixed-total,15,300,1,0.250666224462351,0.556392872201383,0.189347006875167,0,1,0
53,balanced,fixed-total,15,100,1,0.465503514889713,0.82769676999362,0.11622603676137,1,1,1
53,balanced,fixed-total,15,100,1,0.377406509752905,0.785653210911598,0.146955733959304,1,1,1
53,balanced,fixed-total,15,100,1,0.394309692627049,0.753942991770776,0.180935972000553,1,1,1
