profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanLO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanActiveNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
quick,12,40,400,3,5,balanced,fixed-total,0.0351634508877567,0.171613514411922,0.371642617621699,0.165772539690489,0.22,11,5,0.718862158645343,0.161862028082457,0.054826778682317,0.612180638823805,0.63574387620051,1,3.05467554713346
quick,12,40,400,3,7,random,original,0.0684424371034924,0.178413093539905,0.370720238228946,0.165954980660801,0.14,11,7,0.629861177628529,0.380592826162884,0.0551377451207471,0.614564465495784,0.635889238896638,1,7.47868873068324
quick,12,40,400,3,7,random,fixed-total,0.095273054625256,0.18345597458007,0.369225833322053,0.163419181745208,0.22,11,7,0.629020867714755,0.38461521358512,0.0868829786606023,0.610434477349632,0.635628513113778,1,7.47868873068324
quick,12,40,400,3,7,nearest,original,0.0484676490412153,0.177990777772794,0.370723764418614,0.163980331366835,0.14,11,7,0.617316806008883,0.398394427701133,0.0533289170358548,0.629220398720707,0.636783615821522,1,4.1895750933296
quick,12,40,400,3,7,nearest,fixed-total,0.118855223183538,0.220129515206867,0.368956925727516,0.159345478742331,0.22,11,7,0.615602878359995,0.400227864667022,0.0858232815967135,0.614498098050263,0.635883715492876,1,4.14695485057582
quick,12,40,400,3,7,balanced,original,0.0263975881933685,0.166600636057013,0.372558399340871,0.166904314990896,0.14,11,7,0.751116788349913,0.19087878692082,0.0376772927573516,0.629220398716657,0.636783615821522,1,5.28360251877991
quick,12,40,400,3,7,balanced,fixed-total,0.0143450640904722,0.180158458267795,0.37168588099914,0.165499106680637,0.22,11,7,0.750615637124319,0.193058083052582,0.0589194359793208,0.613111711831734,0.635801363146331,1,5.10330962085844
quick,12,40,400,3,10,random,original,0.0706384699461819,0.182930101320376,0.370343074612085,0.165309616155807,0.2,11,10,0.734898876765179,0.331225402500918,0.0705279014153394,0.621057180527343,0.63628469334149,1,10.8056246060774
quick,12,40,400,3,10,random,fixed-total,0.0972491775466316,0.186143574148079,0.370407582408789,0.165644588778844,0.22,11,10,0.735546293527139,0.328852435356521,0.0776948517807278,0.614725559090056,0.63589808737221,1,10.8056246060774
quick,12,40,400,3,10,nearest,original,0.0663688724085181,0.173609022331191,0.371220263312053,0.168906842402832,0.2,11,10,0.74702611878946,0.303406741363914,0.0686840384330915,0.614413583268322,0.635880137592844,1,9.37415374997896
quick,12,40,400,3,10,nearest,fixed-total,0.0720252898124219,0.175604225614632,0.371197505926913,0.168520364679909,0.22,11,10,0.747340895910545,0.302805407948174,0.0757399874840949,0.614090841486648,0.635860368646702,1,9.37415374997897
quick,12,40,400,3,10,balanced,original,0.04566429027146,0.17929239959631,0.370591437618517,0.162946133240387,0.2,11,10,0.758159908690565,0.280293727043341,0.0662351065448717,0.618242189903699,0.636113604667677,1,9.63957365739981
quick,12,40,400,3,10,balanced,fixed-total,0.0521823443765409,0.176355746675006,0.370349853266053,0.162717202309842,0.22,11,10,0.758006922315045,0.290501890826244,0.0744320484114207,0.615383645529825,0.635939269152999,1,9.23113299017488
